priority,barcode,product,odoo_category,shopify_state,days_since_first_stocked,in_store_rev_30d_EGP,in_store_gp_30d_EGP,units_30d,stock_on_hand,stock_at_cost_EGP,wave
1861,1050495744099,xd604 اسکوتر  ارنوب بينك,Toys,ACTIVE_UNPUBLISHED,15,1790,470,1,0,0,"Wave 3 — needs reorder, new range"
1862,0794866036128,Stephen Joseph Backpack 16-inch (Transportation),School,ACTIVE_UNPUBLISHED,742,2190,634,1,0,0,"Wave 4 — needs reorder, older range"
1863,2067036426099,1001 Car Seat - Baby Blue,Various (Consignment),ACTIVE_UNPUBLISHED,731,2790,634,1,0,0,"Wave 4 — needs reorder, older range"
1864,1043615638099,1330 Sortit,Various,NOT_IN_SHOPIFY,113,225,117,5,4,64,"Wave 1 — in stock, new arrival"
1865,6951118068472,[6951118068472] Remote Control Airplane,Toys (Consignment),ACTIVE_UNPUBLISHED,425,2383,633,1,0,0,"Wave 4 — needs reorder, older range"
1866,4001537163099,2 مشبك فيونكه ,Various,NOT_IN_SHOPIFY,131,294,158,5,3,60,"Wave 2 — in stock, existing range"
1867,6957774939002,[6957774939002] SLW9937 Musical Activity Mat,Toys (Consignment),ACTIVE_UNPUBLISHED,753,2999,631,1,0,0,"Wave 4 — needs reorder, older range"
1868,2024030203383,[2024030203383] H158 Remote Control Launch Toy,Toys (Consignment),NOT_IN_SHOPIFY,575,2999,631,1,0,0,"Wave 4 — needs reorder, older range"
1869,1053178381099,[1053178381099] Bottle 1L - Purple,Various,NOT_IN_SHOPIFY,573,1138,158,2,2,841,"Wave 2 — in stock, existing range"
1870,4001590678099,108 Bow clip - Off-white,Clothing,NOT_IN_SHOPIFY,117,210,117,3,1,22,"Wave 1 — in stock, new arrival"
1871,1071413708099,88001 مسدس مياه شاحن أخضر USB,Toys,ACTIVE_UNPUBLISHED,131,550,157,1,1,325,"Wave 2 — in stock, existing range"
1872,000228200010,22820- Socks ,Clothing (Consignment),NOT_IN_SHOPIFY,391,693,157,7,65,4183,"Wave 2 — in stock, existing range"
1873,000228200006,22820- Socks ,Clothing (Consignment),NOT_IN_SHOPIFY,391,693,157,7,51,3282,"Wave 2 — in stock, existing range"
1874,2072362116099,35187 بوتي محمولة أشكال فواكهة Fruit Portable Baby Potty**,Baby Essentials (Consignment),ACTIVE_UNPUBLISHED,96,1898,466,2,0,0,"Wave 3 — needs reorder, new range"
1875,1043615663099,1468 Sortit,Various,NOT_IN_SHOPIFY,113,225,116,3,2,54,"Wave 1 — in stock, new arrival"
1876,6940176634750,[10331-S22940] S22940 Girls Makeup Box,Various (Consignment),NOT_IN_SHOPIFY,323,745,157,1,2,993,"Wave 2 — in stock, existing range"
1877,1068525816099,69869A Umbrella Bouncer with Feeding Tray,Baby Essentials,ACTIVE_UNPUBLISHED,144,2030,623,1,0,0,"Wave 4 — needs reorder, older range"
1878,20702581099,Get Well Soon Helium Balloon,Party,NOT_IN_SHOPIFY,751,200,155,1,1,20,"Wave 2 — in stock, existing range"
1879,1066648663099,28993  Lunch Bag Rabbit  Design,School,ACTIVE_UNPUBLISHED,49,131,115,0,1,850,"Wave 1 — in stock, new arrival"
1880,6223018170624,"Tank Tritan - Printed, 525ml Fashion Pink",Various,ACTIVE_UNPUBLISHED,54,536,115,3,2,237,"Wave 1 — in stock, new arrival"
1881,1043679376099,1475 Flower Hair Band - Large,Clothing,NOT_IN_SHOPIFY,173,336,155,2,15,1050,"Wave 2 — in stock, existing range"
1882,4000169631099,426 Tic tac,Clothing,NOT_IN_SHOPIFY,76,206,115,6,10,111,"Wave 1 — in stock, new arrival"
1883,4000175967099,282 Hair Clip Jeans with Charm,Clothing,NOT_IN_SHOPIFY,183,279,155,4,13,292,"Wave 2 — in stock, existing range"
1884,2025070105521,T102-66A B/O RAIL TRACK,Toys (Consignment),NOT_IN_SHOPIFY,64,2175,458,1,0,0,"Wave 3 — needs reorder, new range"
1885,2056697063008,19452 Boys Shirt,Clothing,ACTIVE_UNPUBLISHED,92,1840,114,2,6,4500,"Wave 1 — in stock, new arrival"
1886,1071798258099,"Cube-169-1 Bingo Squishy Six snack packs with PU Mixed style, with mesh bags 12 pieces",Toys,ACTIVE_UNPUBLISHED,36,1495,456,30,-1,-29,"Wave 3 — needs reorder, new range"
1887,4001273004099,1903 Magic sand art 750G,Toys,ACTIVE_UNPUBLISHED,104,1500,456,4,0,0,"Wave 3 — needs reorder, new range"
1888,20033250,MAINTENANCE,Services,NOT_IN_SHOPIFY,711,700,614,2,0,0,"Wave 4 — needs reorder, older range"
1889,4000169602099,436 buckle,Clothing,NOT_IN_SHOPIFY,76,210,114,3,19,446,"Wave 1 — in stock, new arrival"
1890,4000169600099,435 Girls' hair elastic,Clothing,NOT_IN_SHOPIFY,76,210,114,3,8,188,"Wave 1 — in stock, new arrival"
1891,2025010080006,[20730-621-9] Wool Painting & Frame Art Kit - Super Mario,Toys (Consignment),NOT_IN_SHOPIFY,407,675,153,3,2,292,"Wave 2 — in stock, existing range"
1892,2069527122099,N6038 مشاية تعليمية و لهاية موسيقي و ضوء,Toys (Consignment),ACTIVE_UNPUBLISHED,130,2215,613,1,0,0,"Wave 4 — needs reorder, older range"
1893,2073812116099,266-سكوتر الطيارة للأطفال بثلاثة مستويات وعجلات مضيئة وموسيقى وإضاءة,Toys (Consignment),NOT_IN_SHOPIFY,27,1999,454,1,0,0,"Wave 3 — needs reorder, new range"
1894,2073812115099,266-سكوتر الطيارة للأطفال بثلاثة مستويات وعجلات مضيئة وموسيقى وإضاءة,Toys (Consignment),NOT_IN_SHOPIFY,27,1999,454,1,0,0,"Wave 3 — needs reorder, new range"
1895,2073812131099,0855-251-سيارة تسلا بمقياس ١:١٤ ​​تعمل بجهاز تحكم عن بعد مزودة بوظائف الرجوع للخلف الانعطاف يسارًا الانعطاف يمينًا التوقف والإضاءة - قابلة لإعادة الشحن,Toys (Consignment),ACTIVE_UNPUBLISHED,27,1998,454,2,0,0,"Wave 3 — needs reorder, new range"
1896,1073091244004,309421-1 Girls Dark Denim Boyfriend Shorts with Rolled Cuffs,Clothing,NOT_IN_SHOPIFY,77,494,113,1,41,13120,"Wave 1 — in stock, new arrival"
1897,4001562847099,[4001562847099] Girls Shaped Hair Clips,Various,NOT_IN_SHOPIFY,274,270,153,6,55,770,"Wave 2 — in stock, existing range"
1898,2025070103459,8801 TRANSFORMER BLOCKS WITH LIGHT,Toys (Consignment),ACTIVE_UNPUBLISHED,64,2145,452,3,0,0,"Wave 3 — needs reorder, new range"
1899,1051721270009, 31820 Romper,Clothing,NOT_IN_SHOPIFY,113,385,113,1,7,1575,"Wave 1 — in stock, new arrival"
1900,1060085491010,Plain Black Short-Sleeved T-Shirt,Clothing (Consignment),NOT_IN_SHOPIFY,756,350,152,1,10,1550,"Wave 2 — in stock, existing range"
1901,6224002423481,Swim & Sport Purifying Shampoo & Wash,Various (Consignment),ACTIVE_UNPUBLISHED,285,1404,152,4,1,270,"Wave 2 — in stock, existing range"
1902,1003935522099,147 Bib,Clothing,NOT_IN_SHOPIFY,159,539,151,7,5,230,"Wave 2 — in stock, existing range"
1903,1043615615099,1332 Hair stick,Various,NOT_IN_SHOPIFY,113,316,112,5,12,396,"Wave 1 — in stock, new arrival"
1904,1071851880008,2774 Unisex Oversize T-Shirt,Clothing,NOT_IN_SHOPIFY,517,349,151,1,1,155,"Wave 2 — in stock, existing range"
1905,2058075187099,3127-MY FIRST SMARTPHONE (3 COLOR MIXED),Toys (Consignment),ACTIVE_UNPUBLISHED,166,3162,604,7,0,0,"Wave 4 — needs reorder, older range"
1906,6625000471015,85-5/55 CAR  Perfume,Various (Consignment),NOT_IN_SHOPIFY,438,986,151,6,7,833,"Wave 2 — in stock, existing range"
1907,6222025704631,[6222025704631] Princess Gift Wrapping Paper 2023,Various (Consignment),NOT_IN_SHOPIFY,751,400,151,10,30,600,"Wave 2 — in stock, existing range"
1908,030625141192,Party Birthday Ribbons & Bows,Toys,NOT_IN_SHOPIFY,561,259,151,1,2,153,"Wave 2 — in stock, existing range"
1909,2070514334099,Breastmilk cooler bag with 2 gel pouches,Baby Essentials (Consignment),NOT_IN_SHOPIFY,663,850,151,1,1,595,"Wave 2 — in stock, existing range"
1910,1071417397099,[10714-492] Birthday Cake Candle 15cm,Various,NOT_IN_SHOPIFY,347,264,150,11,68,505,"Wave 2 — in stock, existing range"
1911,1023810754006,0664 Boxer Shorts Pack Of 2,Clothing,NOT_IN_SHOPIFY,756,620,150,4,4,396,"Wave 2 — in stock, existing range"
1912,1060154352099,8813-Pencil Case,School,ACTIVE_UNPUBLISHED,109,1275,443,5,0,0,"Wave 3 — needs reorder, new range"
1913,6942138973693,51121 Bestway  60  x H20 / 1.52m x H51cm Play Pool,Summer,ACTIVE_UNPUBLISHED,119,1599,443,1,0,0,"Wave 3 — needs reorder, new range"
1914,8690089050960,[5096] SHAPE SORTER SWEET HOUSE,Toys,ACTIVE_UNPUBLISHED,243,2067,598,3,0,0,"Wave 4 — needs reorder, older range"
1915,1073616052099,15999 Gift clothes box,Clothing,ACTIVE_UNPUBLISHED,92,1900,443,4,0,0,"Wave 3 — needs reorder, new range"
1916,2072576831099,JT-6699 SCOOTER,Toys (Consignment),NOT_IN_SHOPIFY,195,2835,597,1,0,0,"Wave 4 — needs reorder, older range"
1917,4000169613099,448 Tic tac,Clothing,NOT_IN_SHOPIFY,76,200,110,5,28,364,"Wave 1 — in stock, new arrival"
1918,6224002198051,XTREME_2oolawE3mel,Toys (Consignment),NOT_IN_SHOPIFY,751,840,149,2,24,7056,"Wave 2 — in stock, existing range"
1919,4001594551099,[40015-75] Girls Accessories Bag,Various,NOT_IN_SHOPIFY,270,340,148,2,3,225,"Wave 2 — in stock, existing range"
1920,8555421886761,LKE16A6/delicious cake diy - candle light - song,Toys (Consignment),ACTIVE_UNPUBLISHED,751,2145,592,3,0,0,"Wave 4 — needs reorder, older range"
1921,0780201382893,Color Me 50,Toys (Consignment),ACTIVE_UNPUBLISHED,181,650,148,1,1,422,"Wave 2 — in stock, existing range"
1922,2073891272099,[20738-H326A] H326A Human Body Anatomy Model for Kids,Toys (Consignment),NOT_IN_SHOPIFY,272,650,148,1,1,422,"Wave 2 — in stock, existing range"
1923,4002065818099,HE0801 بيبى ووكر بيانو ماجيك بورد أبيض,Baby Essentials,ACTIVE_UNPUBLISHED,55,1200,438,1,0,0,"Wave 3 — needs reorder, new range"
1924,1052885698099,3993 18-inch Trolley bag - Red/Navy - Cars,School,ACTIVE_UNPUBLISHED,45,2470,437,1,0,0,"Wave 3 — needs reorder, new range"
1925,1052885694099,3993 18-inch Trolley bag - Maroon/Navy - Spider,School,ACTIVE_UNPUBLISHED,45,2470,437,1,0,0,"Wave 3 — needs reorder, new range"
1926,1052885702099,3993 18-inch Trolley bag - Red/Black - Astronaut,School,ACTIVE_UNPUBLISHED,45,2470,437,1,0,0,"Wave 3 — needs reorder, new range"
1927,1052885697099,3993 18-inch Trolley bag - Green/Black - Deku,School,ACTIVE_UNPUBLISHED,45,2470,437,1,0,0,"Wave 3 — needs reorder, new range"
1928,1052885677099,3993 18-inch Trolley bag - Purple/Purple - Frozen,School,ACTIVE_UNPUBLISHED,45,2470,437,1,0,0,"Wave 3 — needs reorder, new range"
1929,1052885686099,3993 18-inch Trolley bag - Pink/Purple - Lol,School,ACTIVE_UNPUBLISHED,45,2470,437,1,0,0,"Wave 3 — needs reorder, new range"
1930,1052885680099,3993 18-inch Trolley bag - Fuchsia/Purple - Barbie A Fairy,School,ACTIVE_UNPUBLISHED,45,2470,437,1,0,0,"Wave 3 — needs reorder, new range"
1931,6940176623488,[6940176623488] Girls Makeup Toy Set,Toys (Consignment),NOT_IN_SHOPIFY,678,699,147,1,4,1864,"Wave 2 — in stock, existing range"
1932,6974625300125,[6974625300125] HW012 Marine Life Dig & Explore Kit,Toys (Consignment),NOT_IN_SHOPIFY,753,699,147,1,1,466,"Wave 2 — in stock, existing range"
1933,1053837649099,Colorful Shell Necklace 273,Various,NOT_IN_SHOPIFY,420,350,147,2,30,2400,"Wave 2 — in stock, existing range"
1934,1067912483099,New Cover Caro Brown Gold,Various,ACTIVE_UNPUBLISHED,252,2120,588,1,0,0,"Wave 4 — needs reorder, older range"
1935,1067912480099,LQ Tag Caro Gold,Various,ACTIVE_UNPUBLISHED,252,2120,588,1,0,0,"Wave 4 — needs reorder, older range"
1936,1067912476099,Caro Brown Gold,Various,ACTIVE_UNPUBLISHED,252,2120,588,1,0,0,"Wave 4 — needs reorder, older range"
1937,4000175989099,312 Characters Hair Clip,Clothing,NOT_IN_SHOPIFY,183,267,147,5,19,332,"Wave 2 — in stock, existing range"
1938,4000191280099,747 Hair Clip Pearl,Various,NOT_IN_SHOPIFY,253,270,147,3,1,30,"Wave 2 — in stock, existing range"
1939,4001583951099,204 مشبك دهبي وردة ,Clothing,NOT_IN_SHOPIFY,134,270,147,3,4,120,"Wave 2 — in stock, existing range"
1940,4001583967099,122 مشبك لولي كريز,Clothing,NOT_IN_SHOPIFY,134,270,147,3,7,210,"Wave 2 — in stock, existing range"
1941,2056697059010,19451 Boys Shirt,Clothing,ACTIVE_UNPUBLISHED,92,1150,109,1,6,5400,"Wave 1 — in stock, new arrival"
1942,4001583952099,191 كلبس وسط,Clothing,NOT_IN_SHOPIFY,134,270,147,6,52,780,"Wave 2 — in stock, existing range"
1943,6222049758894,Ice-Cream and Flamingos Double Face Tote Bag 19 L,Summer (Consignment),ACTIVE_UNPUBLISHED,138,3300,585,2,0,0,"Wave 4 — needs reorder, older range"
1944,6222049724776,Deep Purple Roses Large DuffelTwo Pockets,Summer (Consignment),ACTIVE_UNPUBLISHED,138,3300,585,2,0,0,"Wave 4 — needs reorder, older range"
1945,2041002766099,C001LA La Frutta Baby Carrier,Baby Essentials (Consignment),ACTIVE_UNPUBLISHED,174,3300,585,1,0,0,"Wave 4 — needs reorder, older range"
1946,2041002767099,C001LA La Frutta Baby Carrier,Baby Essentials (Consignment),ACTIVE_UNPUBLISHED,174,3300,585,1,0,0,"Wave 4 — needs reorder, older range"
1947,1060150405099,XP-3054 Michael Shaped Sharpener,School,NOT_IN_SHOPIFY,463,428,146,7,42,1376,"Wave 2 — in stock, existing range"
1948,1023835816010,3470 Long-Sleeved Undershirt,Clothing,NOT_IN_SHOPIFY,364,200,146,2,60,885,"Wave 2 — in stock, existing range"
1949,4000358728099,4600 نظارة سباحة sainteve أورانج*أصفر,Summer,NOT_IN_SHOPIFY,22,340,108,2,11,1045,"Wave 1 — in stock, new arrival"
1950,4000169611099,450 Tic tac,Clothing,NOT_IN_SHOPIFY,76,195,108,3,20,420,"Wave 1 — in stock, new arrival"
1951,2073812225099,TJ013A-2-سيارة RC ، 8 اتجاهات ، سيارة مستشعر الإيماءات ، سيارة ملتوية للطرق الوعرة ، سيارة حيلة قابلة للطي مزدوجة الجوانب مستشعر للإيماءات بزاوية 360 درجة مع دفع رباعي قابلة لإعادة الشحن ,Toys (Consignment),ACTIVE_UNPUBLISHED,27,1899,431,1,0,0,"Wave 3 — needs reorder, new range"
1952,2056619363009,Watermelon Tankini,Clothing,NOT_IN_SHOPIFY,756,450,145,1,1,249,"Wave 2 — in stock, existing range"
1953,4000748733099,6017-BaBY waLker Green 4*1,Toys,ACTIVE_UNPUBLISHED,558,2000,581,1,0,0,"Wave 4 — needs reorder, older range"
1954,4000113142099,665-Cafe shoulder bag,Various,NOT_IN_SHOPIFY,69,225,107,1,2,180,"Wave 1 — in stock, new arrival"
1955,4000113141099,665-Blue shoulder bag,Various,NOT_IN_SHOPIFY,69,225,107,1,3,270,"Wave 1 — in stock, new arrival"
1956,3084353000006,V82863B طقم مكياج كامل + مراية,Toys (Consignment),ACTIVE_UNPUBLISHED,96,1890,429,2,0,0,"Wave 3 — needs reorder, new range"
1957,205669369718M,23617 Girls Skirt,Clothing,NOT_IN_SHOPIFY,413,449,145,1,2,498,"Wave 2 — in stock, existing range"
1958,1053185925099,[10531-5857/31651-42] Lunch Plus Sky Blue BTS24 Lunch Box 1.2L - Blue,Various,NOT_IN_SHOPIFY,364,825,145,3,13,2509,"Wave 2 — in stock, existing range"
1959,1061754747099,1004301 Uni Baby Mini Bouncer Plain - Fuchsia & Grey,Baby Essentials,NOT_IN_SHOPIFY,750,3172,578,1,0,0,"Wave 4 — needs reorder, older range"
1960,1071471047099,W-9 بوكس هدايا اسطوانى,Toys,NOT_IN_SHOPIFY,60,350,107,2,2,200,"Wave 1 — in stock, new arrival"
1961,1054485695006,9034 Dress,Clothing,ACTIVE_UNPUBLISHED,91,576,106,1,6,2394,"Wave 1 — in stock, new arrival"
1962,1017082647099,جردل بحر ديزني  5  اشكال Sonicاخضر,Summer,ACTIVE_UNPUBLISHED,110,1150,424,5,0,0,"Wave 3 — needs reorder, new range"
1963,2072514598099,703-BABY WALKER,Toys (Consignment),NOT_IN_SHOPIFY,99,1530,424,1,0,0,"Wave 3 — needs reorder, new range"
1964,2072514596099,703-BABY WALKER,Toys (Consignment),NOT_IN_SHOPIFY,99,1530,424,1,0,0,"Wave 3 — needs reorder, new range"
1965,1074197251008, 4404 Pants,Clothing,NOT_IN_SHOPIFY,95,712,106,1,10,5190,"Wave 1 — in stock, new arrival"
1966,6942046018417,7276L 3D+GOLDGIFTBAG(40X30X12CM),Various (Consignment),NOT_IN_SHOPIFY,64,1120,424,14,0,0,"Wave 3 — needs reorder, new range"
1967,1071086529099,Bed Sheets,Baby Essentials,ACTIVE_UNPUBLISHED,75,960,422,3,0,0,"Wave 3 — needs reorder, new range"
1968,4000714887099,WD-815B مطبخ استاند 46ق أخضر,Toys,ACTIVE_UNPUBLISHED,97,1450,422,1,0,0,"Wave 3 — needs reorder, new range"
1969,4000836085099,14-75 Cap,Clothing,ACTIVE_UNPUBLISHED,111,200,105,1,3,210,"Wave 1 — in stock, new arrival"
1970,4000182659099,605 استك بابل,Clothing,NOT_IN_SHOPIFY,33,200,105,2,34,1190,"Wave 1 — in stock, new arrival"
1971,4000836097099,12-5025 Cap,Clothing,ACTIVE_UNPUBLISHED,111,200,105,1,16,1120,"Wave 1 — in stock, new arrival"
1972,4000836098099,12-5025 Cap,Clothing,ACTIVE_UNPUBLISHED,111,200,105,1,40,2800,"Wave 1 — in stock, new arrival"
1973,1070095148099,[10700-360] Scooter 1009 Battery,Toys,NOT_IN_SHOPIFY,182,1815,142,1,3,4350,"Wave 2 — in stock, existing range"
1974,1033135847099,808-29 أورج موسيقي,Toys (Consignment),ACTIVE_UNPUBLISHED,106,1998,421,2,0,0,"Wave 3 — needs reorder, new range"
1975,2024110107730,TN-1300 CATAPULT CARGO SHIP WITH LIGHT/MUSIC,Toys (Consignment),ACTIVE_UNPUBLISHED,64,1995,420,1,0,0,"Wave 3 — needs reorder, new range"
1976,1003963061009,110200 Boxer,Clothing,NOT_IN_SHOPIFY,679,746,142,4,23,3027,"Wave 2 — in stock, existing range"
1977,1070280234099,13771 Poncho,Clothing,ACTIVE_UNPUBLISHED,103,1155,419,3,0,0,"Wave 3 — needs reorder, new range"
1978,4000169587099,336 Stick kitty,Clothing,NOT_IN_SHOPIFY,76,175,105,7,3,21,"Wave 1 — in stock, new arrival"
1979,6223003247850,Tank BTL Magnet 1000ml Electric Blue,School,ACTIVE_UNPUBLISHED,369,3075,564,3,-1,-711,"Wave 4 — needs reorder, older range"
1980,1043615631099,1567 Sortit,Various,NOT_IN_SHOPIFY,113,210,104,2,1,40,"Wave 1 — in stock, new arrival"
1981,2041025490099,LA:608ALA La Frutta Stroller,Baby Essentials (Consignment),NOT_IN_SHOPIFY,147,3300,562,1,0,0,"Wave 4 — needs reorder, older range"
1982,1071480374099,75-1 كوره هاند انديه,Toys,NOT_IN_SHOPIFY,68,375,104,3,6,450,"Wave 1 — in stock, new arrival"
1983,6920240618343,88801/velour puzzle 300pcs,Toys (Consignment),NOT_IN_SHOPIFY,687,506,140,2,1,152,"Wave 2 — in stock, existing range"
1984,1061285642099,SKT-8 Kids Helmet + Skating Protective Gear Set,Toys,NOT_IN_SHOPIFY,461,399,140,1,2,420,"Wave 2 — in stock, existing range"
1985,1003972070099,147 Bib,Baby Essentials,NOT_IN_SHOPIFY,95,385,104,5,1,47,"Wave 1 — in stock, new arrival"
1986,4002148560099,2020-مسطره بلاستيك 20سم موف labubu,Various,ACTIVE_UNPUBLISHED,52,226,104,23,57,234,"Wave 1 — in stock, new arrival"
1987,4000190346099,92-94-93 Scrunchie,Clothing,ACTIVE_UNPUBLISHED,377,240,140,4,12,212,"Wave 2 — in stock, existing range"
1988,1043615632099,1366 Sortit,Various,NOT_IN_SHOPIFY,113,200,103,2,1,36,"Wave 1 — in stock, new arrival"
1989,1073784145099,223 Gift clothes box,Clothing,ACTIVE_UNPUBLISHED,60,1565,413,1,0,0,"Wave 3 — needs reorder, new range"
1990,1073784146003,224 Gift clothes box,Clothing,ACTIVE_UNPUBLISHED,60,1565,413,1,0,0,"Wave 3 — needs reorder, new range"
1991,1043615620099,1338 Hair stick,Various,NOT_IN_SHOPIFY,113,209,103,4,6,120,"Wave 1 — in stock, new arrival"
1992,4001591768099,[40015-13-87] Girls Bobby Pin,Various,NOT_IN_SHOPIFY,337,250,139,5,31,496,"Wave 2 — in stock, existing range"
1993,1014883499099,"[10148-DF-75218C-2] DF-75218C Stand Toy Gun with Sound, Light, Flash & Smoke 2 Colors 8pcs - Blue",Toys (Consignment),NOT_IN_SHOPIFY,172,495,139,1,4,1180,"Wave 2 — in stock, existing range"
1994,205669742003Y,3001 Boys Swimsuit,Clothing,NOT_IN_SHOPIFY,13,790,103,1,14,8260,"Wave 1 — in stock, new arrival"
1995,205669741818M,3001 Boys Swimsuit,Clothing,NOT_IN_SHOPIFY,13,790,103,1,14,8260,"Wave 1 — in stock, new arrival"
1996,205669741902Y,3001 Boys Swimsuit,Clothing,NOT_IN_SHOPIFY,13,790,103,1,14,8260,"Wave 1 — in stock, new arrival"
1997,2024121300595,HT-78-CARTOON BALL,Toys (Consignment),NOT_IN_SHOPIFY,537,495,139,1,2,591,"Wave 2 — in stock, existing range"
1998,33172000111201,HC1 Tights,Clothing (Consignment),NOT_IN_SHOPIFY,756,540,139,2,58,9709,"Wave 2 — in stock, existing range"
1999,4000169583099,422 Stick,Clothing,NOT_IN_SHOPIFY,76,190,103,4,2,32,"Wave 1 — in stock, new arrival"
2000,1071415854099,[1071415854099] NICI Puppet Show Plush,Various,NOT_IN_SHOPIFY,470,500,139,2,4,600,"Wave 2 — in stock, existing range"
2001,1014050373099,[1014050373099] Aqua Bones Inflatable 1.52m x 15cm - Turquoise,Summer,NOT_IN_SHOPIFY,498,499,138,1,4,1198,"Wave 2 — in stock, existing range"
2002,1008867493099,Pokeomon 10 Figuers,Toys,NOT_IN_SHOPIFY,751,450,138,1,3,770,"Wave 2 — in stock, existing range"
2003,2073085633099,ELT-626/518 اسكوتر سونيك 4 لون بالصوت و النور,Toys (Consignment),ACTIVE_UNPUBLISHED,43,1800,409,1,0,0,"Wave 3 — needs reorder, new range"
2004,1017082646099,جردل بحر ديزني  5  اشكال P-Wاخضر,Summer,ACTIVE_UNPUBLISHED,110,1150,409,5,0,0,"Wave 3 — needs reorder, new range"
2005,2073812154099,368-48-ترابيزة ألعاب بيبى اكتيفتى بعجلة قيادة,Toys (Consignment),ACTIVE_UNPUBLISHED,27,1798,408,2,0,0,"Wave 3 — needs reorder, new range"
2006,4002125490099,2650 لانش بوكس 2 دور Space +علبة صوص وشوكة وملعقه,School,ACTIVE_UNPUBLISHED,50,1125,408,3,0,0,"Wave 3 — needs reorder, new range"
2007,4002125491099,2650 لانش بوكس 2 دور Cat's Secret +علبة صوص وشوكة وملعقه,School,ACTIVE_UNPUBLISHED,50,1125,408,3,0,0,"Wave 3 — needs reorder, new range"
2008,1060085380012,Watermelon Pantacourt Leggings,Clothing (Consignment),NOT_IN_SHOPIFY,756,280,138,1,4,432,"Wave 2 — in stock, existing range"
2009,202512115664,1888-3A خيمة ولادي + 50 كرة,Toys (Consignment),ACTIVE_UNPUBLISHED,99,1790,407,1,0,0,"Wave 3 — needs reorder, new range"
2010,1003985163008,1662 Pajama,Clothing,ACTIVE_UNPUBLISHED,22,405,101,1,23,5837,"Wave 1 — in stock, new arrival"
2011,4000169635099,455 buckle,Clothing,NOT_IN_SHOPIFY,76,180,101,3,33,627,"Wave 1 — in stock, new arrival"
2012,1071490264099,3-HK-124 خروف ميداليه Shaun the sheep,Various,ACTIVE_UNPUBLISHED,118,400,101,2,1,125,"Wave 1 — in stock, new arrival"
2013,6223007171385,MG-03M-4 Micro Characters Scooter 3 Levels,Toys,NOT_IN_SHOPIFY,641,1550,544,1,-1,-816,"Wave 4 — needs reorder, older range"
2014,1014156113023,040 Sandal,Clothing,NOT_IN_SHOPIFY,550,392,136,1,3,625,"Wave 2 — in stock, existing range"
2015,1014156093023,019 Sandal,Clothing,NOT_IN_SHOPIFY,550,392,136,1,1,208,"Wave 2 — in stock, existing range"
2016,4000882331099,87 Shoulder bag - pink,School,NOT_IN_SHOPIFY,103,800,402,2,0,0,"Wave 3 — needs reorder, new range"
2017,1071419278099,DZ-1600 نظارة سباحة جراب أزرق antifog,Summer,NOT_IN_SHOPIFY,102,353,100,6,32,1120,"Wave 1 — in stock, new arrival"
2018,1003930604006,110200 Boxer,Clothing,NOT_IN_SHOPIFY,6,370,100,2,25,2808,"Wave 1 — in stock, new arrival"
2019,2025010104966,SM09F 10CH R/C CAT WITH INFRARED RAY(WITH 3.7V BATTERY+USB),Toys (Consignment),ACTIVE_UNPUBLISHED,64,1895,399,1,0,0,"Wave 3 — needs reorder, new range"
2020,2024110105453,HG-9049 KITCHEN SET,Toys (Consignment),NOT_IN_SHOPIFY,64,1895,399,1,0,0,"Wave 3 — needs reorder, new range"
2021,1060154307099,BCT-1-Pencil Case,School,ACTIVE_UNPUBLISHED,109,1173,399,7,0,0,"Wave 3 — needs reorder, new range"
2022,1043652472099,1032 Bow Hair Clip - Multicolor,Various,NOT_IN_SHOPIFY,163,290,134,5,23,552,"Wave 2 — in stock, existing range"
2023,4002148562099,2020-مسطره بلاستيك 20سم لبنى labubu,Various,ACTIVE_UNPUBLISHED,52,216,99,22,60,246,"Wave 1 — in stock, new arrival"
2024,1067992148099,D uni-gray,Various,ACTIVE_UNPUBLISHED,75,1600,395,1,0,0,"Wave 3 — needs reorder, new range"
2025,4002081273099,[40020-898-6096] 898-6096 Baby Piano Lion Touch - Red,Toys,NOT_IN_SHOPIFY,228,550,133,1,1,350,"Wave 2 — in stock, existing range"
2026,1043686942099,Bandana 1327,Clothing,NOT_IN_SHOPIFY,190,288,133,6,19,380,"Wave 2 — in stock, existing range"
2027,6925196314622,HT-129 MAGNETIC TOYS,Toys (Consignment),NOT_IN_SHOPIFY,470,630,133,1,4,1680,"Wave 2 — in stock, existing range"
2028,1060154225099,YY-574-Water Bottle,School,ACTIVE_UNPUBLISHED,109,1125,393,3,0,0,"Wave 3 — needs reorder, new range"
2029,4000175937099,276 Lolly Necklace Large,Clothing,NOT_IN_SHOPIFY,183,240,133,3,17,442,"Wave 2 — in stock, existing range"
2030,4001564857099,[4001564857099] Girls Hair Elastic Band,Various,NOT_IN_SHOPIFY,321,254,132,4,8,180,"Wave 2 — in stock, existing range"
2031,1023891528010,0664 Boxer Shorts Pack Of 2,Clothing,NOT_IN_SHOPIFY,146,525,132,3,1,109,"Wave 2 — in stock, existing range"
2032,202512115712,628-117 ديسك رسم  بالبروجكتور,Toys (Consignment),ACTIVE_UNPUBLISHED,99,1725,392,1,0,0,"Wave 3 — needs reorder, new range"
2033,4000169610099,454 buckle,Clothing,NOT_IN_SHOPIFY,76,180,98,4,32,480,"Wave 1 — in stock, new arrival"
